Date,Event,Title,Promotion,Fighter_1,Fighter_2,Rematch,Venue,City,Attendance,Gate,Buyrate
2014-04-26,UFC 172,Jones vs. Teixeira,Ultimate Fighting Championship,Jones,Teixeira,0,Baltimore Arena,"Baltimore, Maryland",13485.0,,350000.0
2014-05-24,UFC 173,Barão vs. Dillashaw,Ultimate Fighting Championship,Barão,Dillashaw,0,MGM Grand Garden Arena,"Las Vegas, Nevada",11036.0,,215000.0
2014-06-14,UFC 174,Johnson vs. Bagautinov,Ultimate Fighting Championship,Johnson,Bagautinov,0,Rogers Arena,"Vancouver, British Columbia, Canada",13506.0,,115000.0
2014-07-05,UFC 175,Weidman vs. Machida,Ultimate Fighting Championship,Weidman,Machida,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10088.0,4400000.0,545000.0
2014-08-30,UFC 177,Dillashaw vs. Soto,Ultimate Fighting Championship,Dillashaw,Soto,0,Sleep Train Arena,"Sacramento, California",11100.0,700000.0,125000.0
2014-09-27,UFC 178,Johnson vs. Cariaso,Ultimate Fighting Championship,Johnson,Cariaso,0,MGM Grand Garden Arena,"Las Vegas, Nevada",10544.0,,205000.0
2014-10-25,UFC 179,Aldo vs. Mendes 2,Ultimate Fighting Championship,Aldo,Mendes,1,Ginásio do Maracanãzinho,"Rio de Janeiro, Brazil",11415.0,,180000.0
2014-11-15,UFC 180,Werdum vs. Hunt,Ultimate Fighting Championship,Werdum,Hunt,0,Arena Ciudad de México,"Mexico City, Mexico",21000.0,,185000.0
2014-12-06,UFC 181,Hendricks vs. Lawler II,Ultimate Fighting Championship,Hendricks,Lawler,1,Mandalay Bay Events Center,"Las Vegas, Nevada",9617.0,,400000.0
2015-01-03,UFC 182,Jones vs. Cormier,Ultimate Fighting Championship,Jones,Cormier,0,MGM Grand Garden Arena,"Las Vegas, Nevada",11575.0,3700000.0,800000.0
2015-01-31,UFC 183,Silva vs. Diaz,Ultimate Fighting Championship,Silva,Diaz,0,MGM Grand Garden Arena,"Las Vegas, Nevada",13114.0,4500000.0,650000.0
2015-02-28,UFC 184,Rousey vs. Zingano,Ultimate Fighting Championship,Rousey,Zingano,0,Staples Center,"Los Angeles, California",16577.0,2675560.0,600000.0
2015-03-14,UFC 185,Pettis vs. dos Anjos,Ultimate Fighting Championship,Pettis,dos Anjos,0,American Airlines Center,"Dallas, Texas",14298.0,2155630.0,310000.0
2015-04-25,UFC 186,Johnson vs. Horiguchi,Ultimate Fighting Championship,Johnson,Horiguchi,0,Bell Centre,"Montreal, Quebec, Canada",10154.0,668000.0,125000.0
2015-05-23,UFC 187,Johnson vs. Cormier,Ultimate Fighting Championship,Johnson,Cormier,0,MGM Grand Garden Arena,"Las Vegas, Nevada",12615.0,5189623.0,375000.0
2015-06-13,UFC 188,Velasquez vs. Werdum,Ultimate Fighting Championship,Velasquez,Werdum,0,Arena Ciudad de México,"Mexico City, Mexico",21036.0,,300000.0
2015-07-11,UFC 189,Mendes vs. McGregor,Ultimate Fighting Championship,Mendes,McGregor,0,MGM Grand Garden Arena,"Las Vegas, Nevada",16019.0,7201648.0,825000.0
2015-08-01,UFC 190,Rousey vs. Correia,Ultimate Fighting Championship,Rousey,Correia,0,HSBC Arena,"Rio de Janeiro, Brazil",14723.0,,900000.0
2015-09-05,UFC 191,Johnson vs Dodson 2,Ultimate Fighting Championship,Johnson,Dodson,1,MGM Grand Garden Arena,"Las Vegas, Nevada",10873.0,1362700.0,115000.0
2015-10-03,UFC 192,Cormier vs. Gustafsson,Ultimate Fighting Championship,Cormier,Gustafsson,0,Toyota Center,"Houston, Texas",14622.0,1859000.0,250000.0
2015-11-15,UFC 193,Rousey vs. Holm,Ultimate Fighting Championship,Rousey,Holm,0,Etihad Stadium,"Melbourne, Australia",56214.0,6800000.0,1100000.0
2015-12-12,UFC 194,Aldo vs. McGregor,Ultimate Fighting Championship,Aldo,McGregor,0,MGM Grand Garden Arena,"Las Vegas, Nevada",16516.0,10006249.0,1200000.0
2016-01-02,UFC 195,Lawler vs. Condit,Ultimate Fighting Championship,Lawler,Condit,0,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",10300.0,2003986.0,300000.0
2016-03-05,UFC 196,McGregor vs. Diaz,Ultimate Fighting Championship,McGregor,Diaz,0,MGM Grand Garden Arena,"Las Vegas, Nevada",14898.0,8100000.0,1317000.0
2016-04-23,UFC 197,Jones vs. Saint Preux,Ultimate Fighting Championship,Jones,Saint Preux,0,MGM Grand Garden Arena,"Las Vegas, Nevada",11352.0,2300000.0,322000.0
2016-05-14,UFC 198,Werdum vs. Miocic,Ultimate Fighting Championship,Werdum,Miocic,0,Arena da Baixada,"Curitiba, Brazil",45207.0,,217000.0
2016-06-04,UFC 199,Rockhold vs. Bisping 2,Ultimate Fighting Championship,Rockhold,Bisping,1,The Forum,"Inglewood, California",15587.0,2168675.0,283000.0
2016-07-09,UFC 200,Tate vs. Nunes,Ultimate Fighting Championship,Tate,Nunes,0,T-Mobile Arena,"Las Vegas, Nevada",18202.0,10700000.0,1009000.0
2016-07-30,UFC 201,Lawler vs. Woodley,Ultimate Fighting Championship,Lawler,Woodley,0,Philips Arena,"Atlanta, Georgia",10240.0,1070000.0,240000.0
2016-08-20,UFC 202,Diaz vs. McGregor 2,Ultimate Fighting Championship,Diaz,McGregor,1,T-Mobile Arena,"Las Vegas, Nevada",15539.0,7700810.0,1650000.0
2016-09-10,UFC 203,Miocic vs. Overeem,Ultimate Fighting Championship,Miocic,Overeem,0,Quicken Loans Arena,"Cleveland, Ohio",18875.0,2600000.0,450000.0
2016-10-08,UFC 204,Bisping vs Henderson 2,Ultimate Fighting Championship,Bisping,Henderson,1,Manchester Arena,"Manchester, England",16000.0,1960000.0,290000.0
2016-11-12,UFC 205,Alvarez vs. McGregor,Ultimate Fighting Championship,Alvarez,McGregor,0,Madison Square Garden,"New York City, New York",20427.0,17700000.0,1300000.0
2016-12-10,UFC 206,Holloway vs. Pettis,Ultimate Fighting Championship,Holloway,Pettis,0,Air Canada Centre,"Toronto, Ontario, Canada",18057.0,1843101.0,150000.0
2016-12-30,UFC 207,Nunes vs. Rousey,Ultimate Fighting Championship,Nunes,Rousey,0,T-Mobile Arena,"Las Vegas, Nevada",18533.0,4750000.0,1100000.0
2017-02-11,UFC 208,Holm vs. de Randamie,Ultimate Fighting Championship,Holm,de Randamie,0,Barclays Center,"Brooklyn, New York",15628.0,2275105.0,200000.0
2017-03-04,UFC 209,Woodley vs. Thompson 2,Ultimate Fighting Championship,Woodley,Thompson,1,T-Mobile Arena,"Las Vegas, Nevada",13150.0,,300000.0
2017-04-08,UFC 210,Cormier vs Johnson 2,Ultimate Fighting Championship,Cormier,Johnson,1,KeyBank Center,"Buffalo, New York",17110.0,2000000.0,300000.0
2017-05-13,UFC 211,Miocic vs dos Santos 2,Ultimate Fighting Championship,Miocic,dos Santos,1,American Airlines Center,"Dallas, Texas",17834.0,2662645.0,300000.0
2017-06-03,UFC 212,Aldo vs. Holloway,Ultimate Fighting Championship,Aldo,Holloway,0,Jeunesse Arena,"Rio de Janeiro, Brazil",15412.0,,200000.0
2017-07-08,UFC 213,Romero vs. Whittaker,Ultimate Fighting Championship,Romero,Whittaker,0,T-Mobile Arena,"Las Vegas, Nevada",12834.0,2400000.0,150000.0
2017-07-29,UFC 214,Cormier vs. Jones 2,Ultimate Fighting Championship,Cormier,Jones,1,Honda Center,"Anaheim, California",16610.0,2448870.0,860000.0
2017-09-09,UFC 215,Nunes vs. Shevchenko 2,Ultimate Fighting Championship,Nunes,Shevchenko,1,Rogers Place,"Edmonton, Alberta, Canada",16232.0,2028307.0,100000.0
2017-10-07,UFC 216,Ferguson vs. Lee,Ultimate Fighting Championship,Ferguson,Lee,0,T-Mobile Arena,"Las Vegas, Nevada",10638.0,677999.0,200000.0
2017-11-04,UFC 217,Bisping vs. St-Pierre,Ultimate Fighting Championship,Bisping,St-Pierre,0,Madison Square Garden,"New York City, New York",18201.0,6200000.0,875000.0
2017-12-02,UFC 218,Holloway vs. Aldo 2,Ultimate Fighting Championship,Holloway,Aldo,1,Little Caesars Arena,"Detroit, Michigan",17587.0,2000000.0,230000.0
2017-12-30,UFC 219,Cyborg vs. Holm,Ultimate Fighting Championship,Cyborg,Holm,0,T-Mobile Arena,"Las Vegas, Nevada",13561.0,1760628.0,380000.0
2018-01-20,UFC 220,Miocic vs. Ngannou,Ultimate Fighting Championship,Miocic,Ngannou,0,TD Garden,"Boston, Massachusetts",16015.0,2450000.0,380000.0
2018-02-11,UFC 221,Romero vs. Rockhold,Ultimate Fighting Championship,Romero,Rockhold,0,Perth Arena,"Perth, Australia",12437.0,2810520.0,150000.0
2018-03-03,UFC 222,Cyborg vs. Kunitskaya,Ultimate Fighting Championship,Cyborg,Kunitskaya,0,T-Mobile Arena,"Las Vegas, Nevada",12041.0,1367672.0,260000.0
2018-04-07,UFC 223,Khabib vs. Iaquinta,Ultimate Fighting Championship,Khabib,Iaquinta,0,Barclays Center,"Brooklyn, New York",17026.0,3007108.0,350000.0
2018-05-12,UFC 224,Nunes vs. Pennington,Ultimate Fighting Championship,Nunes,Pennington,0,Jeunesse Arena,"Rio de Janeiro, Brazil",10696.0,,85000.0
2018-06-09,UFC 225,Whittaker vs. Romero 2,Ultimate Fighting Championship,Whittaker,Romero,1,United Center,"Chicago, Illinois",18117.0,2550000.0,250000.0
2018-07-07,UFC 226,Miocic vs. Cormier,Ultimate Fighting Championship,Miocic,Cormier,0,T-Mobile Arena,"Paradise, Nevada",17464.0,5677238.0,380000.0
2018-08-04,UFC 227,Dillashaw vs. Garbrandt 2,Ultimate Fighting Championship,Dillashaw,Garbrandt,1,Staples Center,"Los Angeles, California",17794.0,2850000.0,300000.0
2018-09-08,UFC 228,Woodley vs. Till,Ultimate Fighting Championship,Woodley,Till,0,American Airlines Center,"Dallas, Texas",14073.0,1700000.0,130000.0
2018-10-06,UFC 229,Khabib vs. McGregor,Ultimate Fighting Championship,Khabib,McGregor,0,T-Mobile Arena,"Paradise, Nevada",20034.0,17200000.0,2400000.0
2018-11-03,UFC 230,Cormier vs. Lewis,Ultimate Fighting Championship,Cormier,Lewis,0,Madison Square Garden,"New York City, New York",,,
2018-12-08,UFC 231,Holloway vs. Ortega,Ultimate Fighting Championship,Holloway,Ortega,0,Scotiabank Arena,"Toronto, Ontario, Canada",,,
2018-12-29,UFC 232,Jess vs. Arran,Ultimate Fighting Championship,Jess,Arran,0,T-Mobile Arena,"Paradise, Nevada",,,
