Date,Event,Title,Promotion,Fighter_1,Fighter_2,Rematch,Venue,City,Attendance,Gate,Buyrate
2003-11-21,UFC 45,Revolution,Ultimate Fighting Championship,,,0,Mohegan Sun Arena,"Uncasville, Connecticut",9200.0,,40000.0
2004-01-31,UFC 46,Supernatural,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10700.0,1377000.0,80000.0
2004-04-02,UFC 47,It’s On!,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",11437.0,1444020.0,105000.0
2004-06-19,UFC 48,Payback,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10000.0,901655.0,110000.0
2004-08-21,UFC 49,Unfinished Business,Ultimate Fighting Championship,,,0,MGM Grand Arena,"Las Vegas, Nevada",12100.0,1293035.0,80000.0
2004-10-22,UFC 50,The War of '04,Ultimate Fighting Championship,,,0,Trump Plaza,"Atlantic City, New Jersey",9000.0,,40000.0
2005-02-05,UFC 51,Super Saturday,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",11072.0,1493000.0,105000.0
2005-04-16,UFC 52,Couture vs. Liddell,Ultimate Fighting Championship,Couture,Liddell,0,MGM Grand Arena,"Las Vegas, Nevada",14562.0,2575450.0,280000.0
2005-06-04,UFC 53,Heavy Hitters,Ultimate Fighting Championship,,,0,Boardwalk Hall,"Atlantic City, New Jersey",12000.0,1100000.0,90000.0
2005-08-20,UFC 54,Boiling Point,Ultimate Fighting Championship,,,0,MGM Grand Arena,"Las Vegas, Nevada",13520.0,2336000.0,150000.0
2005-10-07,UFC 55,Fury,Ultimate Fighting Championship,,,0,Mohegan Sun Arena,"Uncasville, Connecticut",8000.0,,125000.0
2005-11-19,UFC 56,Full Force,Ultimate Fighting Championship,,,0,MGM Grand Arena,"Las Vegas, Nevada",12000.0,1986000.0,200000.0
2006-02-04,UFC 57,Liddell vs. Couture 3,Ultimate Fighting Championship,Liddell,Couture,1,Mandalay Bay Events Center,"Las Vegas, Nevada",11000.0,3382400.0,400000.0
2006-03-04,UFC 58,USA vs. Canada,Ultimate Fighting Championship,USA,Canada,0,Mandalay Bay Events Center,"Las Vegas, Nevada",9569.0,1758450.0,300000.0
2006-04-15,UFC 59,Reality Check,Ultimate Fighting Championship,,,0,Arrowhead Pond,"Anaheim, California",13814.0,2191450.0,425000.0
2006-05-27,UFC 60,Hughes vs. Gracie,Ultimate Fighting Championship,Hughes,Gracie,0,Staples Center,"Los Angeles, California",14802.0,2900090.0,620000.0
2006-07-08,UFC 61,Bitter Rivals,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",11167.0,3350775.0,775000.0
2006-08-26,UFC 62,Liddell vs. Sobral,Ultimate Fighting Championship,Liddell,Sobral,0,Mandalay Bay Events Center,"Las Vegas, Nevada",9859.0,3040880.0,500000.0
2006-09-23,UFC 63,Hughes vs. Penn,Ultimate Fighting Championship,Hughes,Penn,0,Arrowhead Pond,"Anaheim, California",12604.0,1582370.0,400000.0
2006-10-14,UFC 64,Unstoppable,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10173.0,1790490.0,300000.0
2006-11-18,UFC 65,Bad Intentions,Ultimate Fighting Championship,,,0,ARCO Arena,"Sacramento, California",14666.0,2138020.0,500000.0
2006-12-30,UFC 66,Liddell vs. Ortiz,Ultimate Fighting Championship,Liddell,Ortiz,0,MGM Grand Garden Arena,"Las Vegas, Nevada",13761.0,5397300.0,1050000.0
2007-02-03,UFC 67,All or Nothing,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10227.0,2767130.0,350000.0
2007-03-03,UFC 68,The Uprising,Ultimate Fighting Championship,,,0,Nationwide Arena,"Columbus, Ohio",19049.0,3014000.0,534000.0
2007-04-07,UFC 69,Shootout,Ultimate Fighting Championship,,,0,Toyota Center,"Houston, Texas",15269.0,2817200.0,400000.0
2007-04-21,UFC 70,Nations Collide,Ultimate Fighting Championship,,,0,Manchester Evening News Arena,"Manchester, United Kingdom",15114.0,2628472.0,
2007-05-26,UFC 71,Liddell vs. Jackson,Ultimate Fighting Championship,Liddell,Jackson,0,MGM Grand Garden Arena,"Las Vegas, Nevada",14728.0,4304000.0,675000.0
