Date,Event,Main_Event,Title,Promotion,Fighter_1,Fighter_2,Rematch,Venue,City,Attendance,Gate,Buyrate
2011-02-05,UFC 126,1,Silva vs. Belfort,Ultimate Fighting Championship,Silva,Belfort,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10893.0,3600000.0,725000.0
2011-02-27,UFC 127,1,Penn vs. Fitch,Ultimate Fighting Championship,Penn,Fitch,0,Acer Arena,"Sydney, Australia",18186.0,3500000.0,260000.0
2011-03-03,UFC Live,0,Sanchez vs. Kampmann,Ultimate Fighting Championship,Sanchez,Kampmann,0,KFC Yum! Center,"Louisville, Kentucky",8319.0,471450.0,
2011-03-19,UFC 128,1,Shogun vs Jones,Ultimate Fighting Championship,Shogun,Jones,0,Prudential Center,"Newark, New Jersey",12619.0,2140000.0,490000.0
2011-03-26,UFC Fight Night,0,Nogueira vs. Davis,Ultimate Fighting Championship,Nogueira,Davis,0,KeyArena,"Seattle, Washington",13741.0,1182850.0,
2011-04-30,UFC 129,1,St-Pierre vs. Shields,Ultimate Fighting Championship,St-Pierre,Shields,0,Rogers Centre,"Toronto, Ontario, Canada",55724.0,12075000.0,800000.0
2011-05-28,UFC 130,1,Rampage vs. Hamill,Ultimate Fighting Championship,Rampage,Hamill,0,MGM Grand Garden Arena,"Las Vegas, Nevada",12753.0,2580000.0,325000.0
2011-06-04,The Ultimate Fighter,0,Team Lesnar vs. Team dos Santos Finale,Ultimate Fighting Championship,Team Lesnar,Team dos Santos,0,Palms Casino Resort,"Las Vegas, Nevada",2053.0,440150.0,
2011-06-11,UFC 131,1,dos Santos vs. Carwin,Ultimate Fighting Championship,dos Santos,Carwin,0,Rogers Arena,"Vancouver, British Columbia, Canada",14685.0,2800000.0,330000.0
2011-06-26,UFC Live,0,Kongo vs. Barry,Ultimate Fighting Championship,Kongo,Barry,0,Consol Energy Center,"Pittsburgh, Pennsylvania",7792.0,562000.0,
2011-07-02,UFC 132,1,Cruz vs. Faber 2,Ultimate Fighting Championship,Cruz,Faber,1,MGM Grand Garden Arena,"Las Vegas, Nevada",13109.0,2304500.0,350000.0
2011-08-06,UFC 133,1,Evans vs. Ortiz,Ultimate Fighting Championship,Evans,Ortiz,0,Wells Fargo Center,"Philadelphia, Pennsylvania",11583.0,1500000.0,310000.0
2011-08-14,UFC Live,0,Hardy vs. Lytle,Ultimate Fighting Championship,Hardy,Lytle,0,Bradley Center,"Milwaukee, Wisconsin",6751.0,539000.0,
2011-08-27,UFC 134,1,Silva vs. Okami 2,Ultimate Fighting Championship,Silva,Okami,1,HSBC Arena,"Rio de Janeiro, Brazil",14000.0,,335000.0
2011-09-17,UFC Fight Night,0,Shields vs. Ellenberger,Ultimate Fighting Championship,Shields,Ellenberger,0,Morial Convention Center,"New Orleans, Louisiana",7112.0,685000.0,
2011-09-24,UFC 135,1,Jones vs. Rampage,Ultimate Fighting Championship,Jones,Rampage,0,Pepsi Center,"Denver, Colorado",16344.0,2089575.0,520000.0
2011-10-01,UFC Live,0,Cruz vs. Johnson,Ultimate Fighting Championship,Cruz,Johnson,0,Verizon Center,"Washington, D.C.",9380.0,706775.0,
2011-10-08,UFC 136,1,Edgar vs. Maynard III,Ultimate Fighting Championship,Edgar,Maynard,1,Toyota Center,"Houston, Texas",16164.0,2230000.0,225000.0
2011-10-29,UFC 137,1,Penn vs. Diaz,Ultimate Fighting Championship,Penn,Diaz,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10313.0,3900650.0,280000.0
2011-11-05,UFC 138,1,Leben vs. Muñoz,Ultimate Fighting Championship,Leben,Muñoz,0,LG Arena,"Birmingham, United Kingdom",10823.0,1500000.0,
2011-11-12,UFC on Fox,0,Velasquez vs. dos Santos,Ultimate Fighting Championship,Velasquez,dos Santos,0,Honda Center,"Anaheim, California",11607.0,1072187.0,
2011-11-19,UFC 139,1,Shogun vs. Henderson,Ultimate Fighting Championship,Shogun,Henderson,0,HP Pavilion,"San Jose, California",13832.0,1268000.0,290000.0
2011-12-03,The Ultimate Fighter,0,Team Bisping vs. Team Miller Finale,Ultimate Fighting Championship,Team Bisping,Team Miller,0,Palms Casino Resort,"Las Vegas, Nevada",1909.0,452700.0,
2011-12-10,UFC 140,1,Jones vs. Machida,Ultimate Fighting Championship,Jones,Machida,0,Air Canada Centre,"Toronto, Ontario, Canada",18303.0,3900000.0,480000.0
2011-12-30,UFC 141,1,Lesnar vs. Overeem,Ultimate Fighting Championship,Lesnar,Overeem,0,MGM Grand Garden Arena,"Las Vegas, Nevada",13793.0,3100000.0,780000.0
2012-01-14,UFC 142,1,Aldo vs. Mendes,Ultimate Fighting Championship,Aldo,Mendes,0,HSBC Arena,"Rio de Janeiro, Brazil",10605.0,,235000.0
2012-01-20,UFC on FX,0,Guillard vs. Miller,Ultimate Fighting Championship,Guillard,Miller,0,Bridgestone Arena,"Nashville, Tennessee",7728.0,334860.0,
2012-07-21,UFC 149,1,Faber vs. Barão,Ultimate Fighting Championship,Faber,Barão,0,Scotiabank Saddledome,"Calgary, Alberta, Canada",16089.0,4100000.0,235000.0
2012-08-04,UFC on Fox,0,Shogun vs. Vera,Ultimate Fighting Championship,Shogun,Vera,0,Staples Center,"Los Angeles, California",16080.0,1100000.0,
2012-08-11,UFC 150,1,Henderson vs. Edgar II,Ultimate Fighting Championship,Henderson,Edgar,1,Pepsi Center,"Denver, Colorado",13027.0,619955.0,190000.0
2012-09-22,UFC 152,1,Jones vs. Belfort,Ultimate Fighting Championship,Jones,Belfort,0,Air Canada Centre,"Toronto, Ontario, Canada",16800.0,1921000.0,450000.0
2012-09-29,UFC on Fuel TV,0,Struve vs. Miocic,Ultimate Fighting Championship,Struve,Miocic,0,Capital FM Arena,"Nottingham, United Kingdom",7241.0,970000.0,
2012-10-05,UFC on FX,0,Browne vs. Bigfoot,Ultimate Fighting Championship,Browne,Bigfoot,0,Target Center,"Minneapolis, Minnesota",7049.0,358000.0,
2012-10-13,UFC 153,1,Silva vs. Bonnar,Ultimate Fighting Championship,Silva,Bonnar,0,HSBC Arena,"Rio de Janeiro, Brazil",16844.0,,410000.0
2012-11-10,UFC on Fuel TV,0,Franklin vs. Le,Ultimate Fighting Championship,Franklin,Le,0,CotaiArena,"Macau, SAR, China",8415.0,1300000.0,
2012-11-17,UFC 154,1,St-Pierre vs. Condit,Ultimate Fighting Championship,St-Pierre,Condit,0,Bell Centre,"Montreal, Quebec, Canada",17249.0,3143000.0,700000.0
2012-12-08,UFC on Fox,0,Henderson vs. Diaz,Ultimate Fighting Championship,Henderson,Diaz,0,KeyArena,"Seattle, Washington",14387.0,1522600.0,
2012-12-15,UFC on FX,0,Sotiropoulos vs. Pearson,Ultimate Fighting Championship,Sotiropoulos,Pearson,0,Gold Coast Convention and Exhibition Centre,"Queensland, Australia",5133.0,900000.0,
2012-12-15,The Ultimate Fighter,0,Team Carwin vs. Team Nelson Finale,Ultimate Fighting Championship,Team Carwin,Team Nelson,0,Hard Rock Hotel and Casino,"Las Vegas, Nevada",2427.0,569075.0,
2012-12-29,UFC 155,1,dos Santos vs. Velasquez 2,Ultimate Fighting Championship,dos Santos,Velasquez,1,MGM Grand Garden Arena,"Las Vegas, Nevada",13561.0,3286025.0,590000.0
2013-04-20,UFC on Fox,0,Henderson vs. Melendez,Ultimate Fighting Championship,Henderson,Melendez,0,HP Pavilion,"San Jose, California",13506.0,,
2013-04-27,UFC 159,1,Jones vs. Sonnen,Ultimate Fighting Championship,Jones,Sonnen,0,Prudential Center,"Newark, New Jersey",15227.0,2700000.0,530000.0
2013-05-18,UFC on FX,0,Belfort vs. Rockhold,Ultimate Fighting Championship,Belfort,Rockhold,0,Arena Jaraguá,"Jaraguá do Sul, Brazil",7642.0,,
2013-05-25,UFC 160,1,Velasquez vs. Bigfoot 2,Ultimate Fighting Championship,Velasquez,Bigfoot,1,MGM Grand Garden Arena,"Las Vegas, Nevada",12380.0,,380000.0
2013-06-08,UFC on Fuel TV,0,Nogueira vs. Werdum,Ultimate Fighting Championship,Nogueira,Werdum,0,Ginásio Paulo Sarasate,"Fortaleza, Brazil",6286.0,,
2013-06-15,UFC 161,1,Evans vs. Henderson,Ultimate Fighting Championship,Evans,Henderson,0,MTS Centre,"Winnipeg, Manitoba, Canada",14754.0,,140000.0
2013-07-06,UFC 162,1,Silva vs. Weidman,Ultimate Fighting Championship,Silva,Weidman,0,MGM Grand Garden Arena,"Las Vegas, Nevada",12964.0,,550000.0
2013-07-27,UFC on Fox,0,Johnson vs. Moraga,Ultimate Fighting Championship,Johnson,Moraga,0,KeyArena,"Seattle, Washington",8967.0,700081.0,
2013-08-03,UFC 163,1,Aldo vs. Korean Zombie,Ultimate Fighting Championship,Aldo,Korean Zombie,0,HSBC Arena,"Rio De Janeiro, Brazil",13873.0,,180000.0
2013-08-17,UFC Fight Night,0,Shogun vs. Sonnen,Ultimate Fighting Championship,Shogun,Sonnen,0,TD Garden,"Boston, Massachusetts",14181.0,1534000.0,
2013-08-28,UFC Fight Night,0,Condit vs. Kampmann 2,Ultimate Fighting Championship,Condit,Kampmann,1,Bankers Life Fieldhouse,"Indianapolis, Indiana",6417.0,355290.0,
2013-08-31,UFC 164,1,Henderson vs. Pettis II,Ultimate Fighting Championship,Henderson,Pettis,1,BMO Harris Bradley Center,"Milwaukee, Wisconsin",9178.0,907116.0,270000.0
2013-09-04,UFC Fight Night,0,Teixeira vs. Bader,Ultimate Fighting Championship,Teixeira,Bader,0,Mineirinho Arena,"Belo Horizonte, Brazil",5126.0,,
2013-09-21,UFC 165,1,Jones vs. Gustafsson,Ultimate Fighting Championship,Jones,Gustafsson,0,Air Canada Centre,"Toronto, Ontario, Canada",15504.0,,310000.0
2013-10-09,UFC Fight Night,0,Maia vs. Shields,Ultimate Fighting Championship,Maia,Shields,0,Ginásio José Corrêa,"Barueri, Brazil",6621.0,,
2013-10-19,UFC 166,1,Velasquez vs. dos Santos III,Ultimate Fighting Championship,Velasquez,dos Santos,1,Toyota Center,"Houston, Texas",17238.0,,330000.0
2013-10-26,UFC Fight Night,0,Machida vs. Muñoz,Ultimate Fighting Championship,Machida,Muñoz,0,Phones 4u Arena,"Manchester, United Kingdom",10355.0,,
2013-11-06,UFC,0,Fight for the Troops 3,Ultimate Fighting Championship,,,1,Fort Campbell,"Fort Campbell, Kentucky",,,
2013-11-09,UFC Fight Night,0,Belfort vs. Henderson 2,Ultimate Fighting Championship,Belfort,Henderson,1,Goiânia Arena,"Goiânia, Brazil",10565.0,,
2013-11-16,UFC 167,1,St-Pierre vs. Hendricks,Ultimate Fighting Championship,St-Pierre,Hendricks,0,MGM Grand Garden Arena,"Las Vegas, Nevada",14856.0,5759350.0,630000.0
2013-11-30,The Ultimate Fighter,0,Team Rousey vs. Team Tate Finale,Ultimate Fighting Championship,Team Rousey,Team Tate,0,Mandalay Bay Events Center,"Las Vegas, Nevada",4853.0,322742.0,
2013-12-07,UFC Fight Night,0,Hunt vs. Bigfoot,Ultimate Fighting Championship,Hunt,Bigfoot,0,Brisbane Entertainment Centre,"Brisbane, Queensland, Australia",11393.0,,
2013-12-14,UFC on Fox,0,Johnson vs. Benavidez 2,Ultimate Fighting Championship,Johnson,Benavidez,1,Sleep Train Arena,"Sacramento, California",11573.0,1066610.0,
2013-12-28,UFC 168,1,Weidman vs. Silva 2,Ultimate Fighting Championship,Weidman,Silva,1,MGM Grand Garden Arena,"Las Vegas, Nevada",15650.0,6238792.0,1025000.0
2014-01-04,UFC Fight Night,0,Saffiedine vs. Lim,Ultimate Fighting Championship,Saffiedine,Lim,0,Marina Bay Sands,"Marina Bay, Singapore",5216.0,,
2014-01-15,UFC Fight Night,0,Rockhold vs. Philippou,Ultimate Fighting Championship,Rockhold,Philippou,0,The Arena at Gwinnett Center,"Duluth, Georgia",5822.0,231951.0,
2014-01-25,UFC on Fox,0,Henderson vs. Thomson,Ultimate Fighting Championship,Henderson,Thomson,0,United Center,"Chicago, Illinois",10895.0,863655.0,
2014-02-01,UFC 169,1,Barão vs. Faber II,Ultimate Fighting Championship,Barão,Faber,1,Prudential Center,"Newark, New Jersey",14308.0,,230000.0
2014-02-15,UFC Fight Night,0,Machida vs. Mousasi,Ultimate Fighting Championship,Machida,Mousasi,0,Arena Jaraguá,"Jaraguá do Sul, Brazil",7511.0,,
2014-02-22,UFC 170,1,Rousey vs. McMann,Ultimate Fighting Championship,Rousey,McMann,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10217.0,1558870.0,340000.0
2014-03-01,The Ultimate Fighter China Finale,0,Kim vs. Hathaway,Ultimate Fighting Championship,Kim,Hathaway,0,CotaiArena,"Macau, SAR, China",6000.0,,
2014-03-08,UFC Fight Night,0,Gustafsson  vs. Manuwa,Ultimate Fighting Championship,Gustafsson ,Manuwa,0,The O2 Arena,"London, England",14604.0,2000056.0,
2014-03-15,UFC 171,1,Hendricks vs. Lawler,Ultimate Fighting Championship,Hendricks,Lawler,0,American Airlines Center,"Dallas, Texas",19324.0,2600000.0,300000.0
2014-03-23,UFC Fight Night,0,Shogun vs. Henderson 2,Ultimate Fighting Championship,Shogun,Henderson,1,Ginásio Nélio Dias,"Natal, Brazil",6828.0,,
2014-04-11,UFC Fight Night,0,Nogueira vs. Nelson,Ultimate Fighting Championship,Nogueira,Nelson,0,du Arena,"Abu Dhabi, United Arab Emirates",7963.0,1800000.0,
2014-04-16,The Ultimate Fighter Nations Finale,0,Bisping vs. Kennedy,Ultimate Fighting Championship,Bisping,Kennedy,0,Colisée Pepsi,"Quebec City, Quebec, Canada",5029.0,340000.0,
2014-04-19,UFC on Fox,0,Werdum vs. Browne,Ultimate Fighting Championship,Werdum,Browne,0,Amway Center,"Orlando, Florida",14410.0,1651776.0,
2014-04-26,UFC 172,1,Jones vs. Teixeira,Ultimate Fighting Championship,Jones,Teixeira,0,Baltimore Arena,"Baltimore, Maryland",13485.0,,350000.0
2014-05-10,UFC Fight Night,0,Brown vs. Silva,Ultimate Fighting Championship,Brown,Silva,0,U.S. Bank Arena,"Cincinnati, Ohio",6143.0,415000.0,
2014-05-24,UFC 173,1,Barão vs. Dillashaw,Ultimate Fighting Championship,Barão,Dillashaw,0,MGM Grand Garden Arena,"Las Vegas, Nevada",11036.0,,215000.0
2014-05-31,UFC Fight Night,0,Muñoz vs. Mousasi,Ultimate Fighting Championship,Muñoz,Mousasi,0,O2 World,"Berlin, Germany",8000.0,,
2014-05-31,The Ultimate Fighter Brazil 3 Finale,0,Miocic vs. Maldonado,Ultimate Fighting Championship,Miocic,Maldonado,0,Ginásio do Ibirapuera,"São Paulo, Brazil",8986.0,,
2014-06-07,UFC Fight Night,0,Henderson vs. Khabilov,Ultimate Fighting Championship,Henderson,Khabilov,0,Tingley Coliseum,"Albuquerque, New Mexico",8775.0,697901.0,
2014-06-14,UFC 174,1,Johnson vs. Bagautinov,Ultimate Fighting Championship,Johnson,Bagautinov,0,Rogers Arena,"Vancouver, British Columbia, Canada",13506.0,,115000.0
2014-06-28,UFC Fight Night,0,Te Huna vs. Marquardt,Ultimate Fighting Championship,Te Huna,Marquardt,0,Vector Arena,"Auckland, New Zealand",8089.0,913000.0,
2014-06-28,UFC Fight Night,0,Swanson vs. Stephens,Ultimate Fighting Championship,Swanson,Stephens,0,AT&T Center,"San Antonio, Texas",9227.0,728358.0,
2014-07-05,UFC 175,1,Weidman vs. Machida,Ultimate Fighting Championship,Weidman,Machida,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10088.0,4400000.0,545000.0
2014-07-06,The Ultimate Fighter,0,Team Edgar vs. Team Penn Finale,Ultimate Fighting Championship,Team Edgar,Team Penn,0,Mandalay Bay Events Center,"Las Vegas, Nevada",6500.0,835000.0,
2014-07-16,UFC Fight Night,0,Cerrone vs. Miller,Ultimate Fighting Championship,Cerrone,Miller,0,Revel Casino Hotel,"Atlantic City, New Jersey",4115.0,,
2014-07-19,UFC Fight Night,0,McGregor vs. Brandao,Ultimate Fighting Championship,McGregor,Brandao,0,The O2,"Dublin, Ireland",9500.0,,
2014-07-26,UFC on Fox,0,Lawler vs Brown,Ultimate Fighting Championship,Lawler,Brown,0,SAP Center,"San Jose, California",11482.0,735317.0,
2014-08-16,UFC Fight Night,0,Bader vs. Saint Preux,Ultimate Fighting Championship,Bader,Saint Preux,0,Cross Insurance Center,"Bangor, Maine",5329.0,321470.0,
2014-08-23,UFC Fight Night,0,Bisping vs. Le,Ultimate Fighting Championship,Bisping,Le,0,CotaiArena,"Macau, SAR, China",7022.0,,
2014-08-23,UFC Fight Night,0,Henderson vs. dos Anjos,Ultimate Fighting Championship,Henderson,dos Anjos,0,BOK Center,"Tulsa, Oklahoma",7119.0,452075.0,
2014-08-30,UFC 177,1,Dillashaw vs. Soto,Ultimate Fighting Championship,Dillashaw,Soto,0,Sleep Train Arena,"Sacramento, California",11100.0,700000.0,125000.0
2014-09-05,UFC Fight Night,0,Jacaré vs. Mousasi,Ultimate Fighting Championship,Jacaré,Mousasi,0,Foxwoods Resort Casino,"Mashantucket, Connecticut",4086.0,479620.0,
2014-09-13,UFC Fight Night,0,Bigfoot vs. Arlovski,Ultimate Fighting Championship,Bigfoot,Arlovski,0,Ginásio Nilson Nelson,"Brasília, Brazil",8822.0,,
2014-09-20,UFC Fight Night,0,Hunt vs. Nelson,Ultimate Fighting Championship,Hunt,Nelson,0,Saitama Super Arena,"Saitama, Japan",12395.0,,
2014-09-27,UFC 178,1,Johnson vs. Cariaso,Ultimate Fighting Championship,Johnson,Cariaso,0,MGM Grand Garden Arena,"Las Vegas, Nevada",10544.0,,205000.0
2014-10-04,UFC Fight Night,0,Nelson vs. Story,Ultimate Fighting Championship,Nelson,Story,0,Ericsson Globe Arena,"Stockholm, Sweden",10026.0,,
2014-10-04,UFC Fight Night,0,MacDonald vs. Saffiedine,Ultimate Fighting Championship,MacDonald,Saffiedine,0,Scotiabank Centre,"Halifax, Nova Scotia, Canada",10782.0,926000.0,
2014-10-25,UFC 179,1,Aldo vs. Mendes 2,Ultimate Fighting Championship,Aldo,Mendes,1,Ginásio do Maracanãzinho,"Rio de Janeiro, Brazil",11415.0,,180000.0
2014-11-08,UFC Fight Night,0,Rockhold vs. Bisping,Ultimate Fighting Championship,Rockhold,Bisping,0,Allphones Arena,"Sydney, Australia",9904.0,,
2014-11-08,UFC Fight Night,0,Shogun vs. Saint Preux,Ultimate Fighting Championship,Shogun,Saint Preux,0,Ginásio Municipal Tancredo Neves,"Uberlândia, Brazil",5671.0,,
2014-11-15,UFC 180,1,Werdum vs. Hunt,Ultimate Fighting Championship,Werdum,Hunt,0,Arena Ciudad de México,"Mexico City, Mexico",21000.0,,185000.0
2014-11-22,UFC Fight Night,0,Edgar vs. Swanson,Ultimate Fighting Championship,Edgar,Swanson,0,Frank Erwin Center,"Austin, Texas",10131.0,670022.0,
2014-12-06,UFC 181,1,Hendricks vs. Lawler II,Ultimate Fighting Championship,Hendricks,Lawler,1,Mandalay Bay Events Center,"Las Vegas, Nevada",9617.0,,400000.0
2014-12-12,The Ultimate Fighter,0,A Champion Will Be Crowned,Ultimate Fighting Championship,,,0,Palms Casino Resort,"Las Vegas, Nevada",1800.0,143000.0,
2014-12-13,UFC on Fox,0,dos Santos vs. Miocic,Ultimate Fighting Championship,dos Santos,Miocic,0,U.S. Airways Center,"Phoenix, Arizona",15350.0,,
2014-12-20,UFC Fight Night,0,Machida vs. Dollaway,Ultimate Fighting Championship,Machida,Dollaway,0,Ginásio José Corrêa,"Barueri, Brazil",,,
2015-01-03,UFC 182,1,Jones vs. Cormier,Ultimate Fighting Championship,Jones,Cormier,0,MGM Grand Garden Arena,"Las Vegas, Nevada",11575.0,3700000.0,800000.0
2015-01-18,UFC Fight Night,0,McGregor vs Siver,Ultimate Fighting Championship,McGregor,Siver,0,TD Garden,"Boston, Massachusetts",13828.0,1340000.0,
2015-01-24,UFC on Fox,0,Gustafsson vs. Johnson,Ultimate Fighting Championship,Gustafsson,Johnson,0,Tele2 Arena,"Stockholm, Sweden",30000.0,,
2015-01-31,UFC 183,1,Silva vs. Diaz,Ultimate Fighting Championship,Silva,Diaz,0,MGM Grand Garden Arena,"Las Vegas, Nevada",13114.0,4500000.0,650000.0
2015-02-14,UFC Fight Night,0,Henderson vs. Thatch,Ultimate Fighting Championship,Henderson,Thatch,0,1stBank Center,"Broomfield, Colorado",5807.0,382875.0,
2015-02-22,UFC Fight Night,0,Bigfoot vs. Mir,Ultimate Fighting Championship,Bigfoot,Mir,0,Ginásio Gigantinho,"Porto Alegre, Brazil",5080.0,,
2015-02-28,UFC 184,1,Rousey vs. Zingano,Ultimate Fighting Championship,Rousey,Zingano,0,Staples Center,"Los Angeles, California",16577.0,2675560.0,600000.0
2015-03-14,UFC 185,1,Pettis vs. dos Anjos,Ultimate Fighting Championship,Pettis,dos Anjos,0,American Airlines Center,"Dallas, Texas",14298.0,2155630.0,310000.0
2015-03-21,UFC Fight Night,0,Maia vs. LaFlare,Ultimate Fighting Championship,Maia,LaFlare,0,Ginásio do Maracanãzinho,"Rio de Janeiro, Brazil",7707.0,,
2015-04-04,UFC Fight Night,0,Mendes vs. Lamas,Ultimate Fighting Championship,Mendes,Lamas,0,Patriot Center,"Fairfax, Virginia",5417.0,545604.0,
2015-04-11,UFC Fight Night,0,Gonzaga vs. Cro Cop 2,Ultimate Fighting Championship,Gonzaga,Cro Cop,1,Tauron Arena Kraków,"Kraków, Poland",10000.0,720000.0,
2015-04-18,UFC on Fox,0,Machida vs. Rockhold,Ultimate Fighting Championship,Machida,Rockhold,0,Prudential Center,"Newark, New Jersey",13306.0,1200000.0,
2015-04-25,UFC 186,1,Johnson vs. Horiguchi,Ultimate Fighting Championship,Johnson,Horiguchi,0,Bell Centre,"Montreal, Quebec, Canada",10154.0,668000.0,125000.0
2015-05-10,UFC Fight Night,0,Miocic vs. Hunt,Ultimate Fighting Championship,Miocic,Hunt,0,Adelaide Entertainment Centre,"Adelaide, Australia",7984.0,833810.0,
2015-05-16,UFC Fight Night,0,Edgar vs. Faber,Ultimate Fighting Championship,Edgar,Faber,0,Mall of Asia Arena,"Pasay, Philippines",13446.0,,
2015-05-23,UFC 187,1,Johnson vs. Cormier,Ultimate Fighting Championship,Johnson,Cormier,0,MGM Grand Garden Arena,"Las Vegas, Nevada",12615.0,5189623.0,375000.0
2015-05-30,UFC Fight Night,0,Condit vs. Alves,Ultimate Fighting Championship,Condit,Alves,0,Goiânia Arena,"Goiânia, Brazil",3500.0,,
2015-06-06,UFC Fight Night,0,Boetsch vs. Henderson,Ultimate Fighting Championship,Boetsch,Henderson,0,Smoothie King Center,"New Orleans, Louisiana",6231.0,621523.0,
2015-06-13,UFC 188,1,Velasquez vs. Werdum,Ultimate Fighting Championship,Velasquez,Werdum,0,Arena Ciudad de México,"Mexico City, Mexico",21036.0,,300000.0
2015-06-20,UFC Fight Night,0,Jędrzejczyk vs. Penne,Ultimate Fighting Championship,Jędrzejczyk,Penne,0,O2 World,"Berlin, Germany",8155.0,,
2015-06-27,UFC Fight Night,0,Machida vs. Romero,Ultimate Fighting Championship,Machida,Romero,0,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida",5604.0,,
2015-07-11,UFC 189,1,Mendes vs. McGregor,Ultimate Fighting Championship,Mendes,McGregor,0,MGM Grand Garden Arena,"Las Vegas, Nevada",16019.0,7201648.0,825000.0
2015-07-12,The Ultimate Fighter,0,American Top Team vs. Blackzilians Finale,Ultimate Fighting Championship,American Top Team,Blackzilians,0,MGM Grand Garden Arena,"Las Vegas, Nevada",4844.0,291000.0,
2015-07-15,UFC Fight Night,0, Mir vs. Duffee,Ultimate Fighting Championship, Mir,Duffee,0,Valley View Casino Center,"San Diego, California",5471.0,412000.0,
2015-07-18,UFC Fight Night,0,Bisping vs. Leites,Ultimate Fighting Championship,Bisping,Leites,0,The SSE Hydro,"Glasgow, Scotland",10451.0,1500000.0,
2015-07-25,UFC on Fox,0,Dillashaw vs. Barão 2,Ultimate Fighting Championship,Dillashaw,Barão,1,United Center,"Chicago, Illinois",11663.0,1200000.0,
2015-08-01,UFC 190,1,Rousey vs. Correia,Ultimate Fighting Championship,Rousey,Correia,0,HSBC Arena,"Rio de Janeiro, Brazil",14723.0,,900000.0
2015-08-08,UFC Fight Night,0,Teixeira vs. Saint Preux,Ultimate Fighting Championship,Teixeira,Saint Preux,0,Bridgestone Arena,"Nashville, Tennessee",7539.0,454551.0,
2015-08-23,UFC Fight Night,0,Holloway vs. Oliveira,Ultimate Fighting Championship,Holloway,Oliveira,0,SaskTel Centre,"Saskatoon, Saskatchewan, Canada",7202.0,,
2015-09-05,UFC 191,1,Johnson vs Dodson 2,Ultimate Fighting Championship,Johnson,Dodson,1,MGM Grand Garden Arena,"Las Vegas, Nevada",10873.0,1362700.0,115000.0
2015-09-27,UFC Fight Night,0,Barnett vs. Nelson,Ultimate Fighting Championship,Barnett,Nelson,0,Saitama Super Arena,"Saitama, Japan",10137.0,,
2015-10-03,UFC 192,1,Cormier vs. Gustafsson,Ultimate Fighting Championship,Cormier,Gustafsson,0,Toyota Center,"Houston, Texas",14622.0,1859000.0,250000.0
2015-10-24,UFC Fight Night,0,Holohan vs. Smolka,Ultimate Fighting Championship,Holohan,Smolka,0,3Arena,"Dublin, Ireland",9500.0,,
2015-11-07,UFC Fight Night,0,Belfort vs. Henderson 3,Ultimate Fighting Championship,Belfort,Henderson,1,Ginásio do Ibirapuera,"São Paulo, Brazil",10628.0,,
2015-11-15,UFC 193,1,Rousey vs. Holm,Ultimate Fighting Championship,Rousey,Holm,0,Etihad Stadium,"Melbourne, Australia",56214.0,6800000.0,1100000.0
2015-11-21,The Ultimate Fighter Latin America 2 Finale,0,Magny vs. Gastelum,Ultimate Fighting Championship,Magny,Gastelum,0,Arena Monterrey,"Monterrey, Mexico",10410.0,,
2015-11-28,UFC Fight Night,0,Henderson vs. Masvidal,Ultimate Fighting Championship,Henderson,Masvidal,0,Olympic Gymnastics Arena,"Seoul, South Korea",12156.0,,
2015-12-10,UFC Fight Night,0,Namajunas vs. VanZant,Ultimate Fighting Championship,Namajunas,VanZant,0,The Chelsea at The Cosmopolitan,"Las Vegas, Nevada",1643.0,234725.0,
2015-12-11,The Ultimate Fighter,0,Team McGregor vs. Team Faber Finale,Ultimate Fighting Championship,Team McGregor,Team Faber,0,The Chelsea at The Cosmopolitan,"Las Vegas, Nevada",1800.0,450000.0,
2015-12-12,UFC 194,1,Aldo vs. McGregor,Ultimate Fighting Championship,Aldo,McGregor,0,MGM Grand Garden Arena,"Las Vegas, Nevada",16516.0,10006249.0,1200000.0
2015-12-19,UFC on Fox,0,dos Anjos vs. Cerrone 2,Ultimate Fighting Championship,dos Anjos,Cerrone,1,Amway Center,"Orlando, Florida",14459.0,1710000.0,
2016-01-02,UFC 195,1,Lawler vs. Condit,Ultimate Fighting Championship,Lawler,Condit,0,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",10300.0,2003986.0,300000.0
2016-01-17,UFC Fight Night,0,Dillashaw vs. Cruz,Ultimate Fighting Championship,Dillashaw,Cruz,0,TD Garden,"Boston, Massachusetts",12790.0,1300000.0,
2016-01-30,UFC on Fox,0,Johnson vs. Bader,Ultimate Fighting Championship,Johnson,Bader,0,Prudential Center,"Newark, New Jersey",10555.0,818000.0,
2016-02-06,UFC Fight Night,0,Hendricks vs. Thompson,Ultimate Fighting Championship,Hendricks,Thompson,0,MGM Grand Garden Arena,"Las Vegas, Nevada",7422.0,1435000.0,
2016-02-21,UFC Fight Night,0,Cowboy vs. Cowboy,Ultimate Fighting Championship,Cowboy,Cowboy,0,Consol Energy Center,"Pittsburgh, Pennsylvania",7330.0,572547.0,
