Date,Event,Promotion,Venue,City,Attendance,Gate,Buyrate
2000-09-22,UFC 27: Ultimate Bad Boyz,Ultimate Fighting Championship,Lakefront Arena,"New Orleans, Louisiana",,,
2000-11-17,UFC 28: High Stakes,Ultimate Fighting Championship,Trump Taj Mahal,"Atlantic City, New Jersey",,,
2000-12-16,UFC 29: Defense of the Belts,Ultimate Fighting Championship,Differ Ariake Arena,"Tokyo, Japan",1414.0,,
2001-02-23,UFC 30: Battle on the Boardwalk,Ultimate Fighting Championship,Trump Taj Mahal,"Atlantic City, New Jersey",,,
2001-05-04,UFC 31: Locked and Loaded,Ultimate Fighting Championship,Trump Taj Mahal,"Atlantic City, New Jersey",,,
2001-06-29,UFC 32: Showdown in the Meadowlands,Ultimate Fighting Championship,Continental Airlines Arena,"East Rutherford, New Jersey",12500.0,,
2001-09-28,UFC 33: Victory in Vegas,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",9500.0,816660.0,75000.0
2001-11-02,UFC 34: High Voltage,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",9000.0,502550.0,65000.0
2002-01-11,UFC 35: Throwdown,Ultimate Fighting Championship,Mohegan Sun Arena,"Uncasville, Connecticut",9600.0,,35000.0
2002-03-22,UFC 36: Worlds Collide,Ultimate Fighting Championship,MGM Grand Arena,"Las Vegas, Nevada",10000.0,898850.0,55000.0
2002-05-10,UFC 37: High Impact,Ultimate Fighting Championship,CenturyTel Center,"Bossier City, Louisiana",7200.0,,50000.0
2002-06-22,UFC 37.5: As Real As It Gets,Ultimate Fighting Championship,Bellagio Hotel and Casino,"Las Vegas, Nevada",3700.0,,
2002-07-13,UFC 38: Brawl at the Hall,Ultimate Fighting Championship,Royal Albert Hall,"London, United Kingdom",3800.0,,45000.0
2002-09-27,UFC 39: The Warriors Return,Ultimate Fighting Championship,Mohegan Sun Arena,"Uncasville, Connecticut",7800.0,,45000.0
2002-11-22,UFC 40: Vendetta,Ultimate Fighting Championship,MGM Grand Arena,"Las Vegas, Nevada",13265.0,1540000.0,100000.0
2003-02-28,UFC 41: Onslaught,Ultimate Fighting Championship,Boardwalk Hall,"Atlantic City, New Jersey",13401.0,,60000.0
