Date,Event,Promotion,Venue,City,Attendance,Gate,Buyrate
2011-12-30,UFC 141: Lesnar vs. Overeem,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",13793.0,3100000.0,780000.0
2012-01-14,UFC 142: Aldo vs. Mendes,Ultimate Fighting Championship,HSBC Arena,"Rio de Janeiro, Brazil",10605.0,,235000.0
2012-01-20,UFC on FX: Guillard vs. Miller,Ultimate Fighting Championship,Bridgestone Arena,"Nashville, Tennessee",7728.0,334860.0,
2012-07-21,UFC 149: Faber vs. Barão,Ultimate Fighting Championship,Scotiabank Saddledome,"Calgary, Alberta, Canada",16089.0,4100000.0,235000.0
2012-08-04,UFC on Fox: Shogun vs. Vera,Ultimate Fighting Championship,Staples Center,"Los Angeles, California",16080.0,1100000.0,
2012-08-11,UFC 150: Henderson vs. Edgar II,Ultimate Fighting Championship,Pepsi Center,"Denver, Colorado",13027.0,619955.0,190000.0
2012-09-22,UFC 152: Jones vs. Belfort,Ultimate Fighting Championship,Air Canada Centre,"Toronto, Ontario, Canada",16800.0,1921000.0,450000.0
2012-09-29,UFC on Fuel TV: Struve vs. Miocic,Ultimate Fighting Championship,Capital FM Arena,"Nottingham, United Kingdom",7241.0,970000.0,
2012-10-05,UFC on FX: Browne vs. Bigfoot,Ultimate Fighting Championship,Target Center,"Minneapolis, Minnesota",7049.0,358000.0,
2012-10-13,UFC 153: Silva vs. Bonnar,Ultimate Fighting Championship,HSBC Arena,"Rio de Janeiro, Brazil",16844.0,,410000.0
2012-11-10,UFC on Fuel TV: Franklin vs. Le,Ultimate Fighting Championship,CotaiArena,"Macau, SAR, China",8415.0,1300000.0,
2012-11-17,UFC 154: St-Pierre vs. Condit,Ultimate Fighting Championship,Bell Centre,"Montreal, Quebec, Canada",17249.0,3143000.0,700000.0
2012-12-08,UFC on Fox: Henderson vs. Diaz,Ultimate Fighting Championship,KeyArena,"Seattle, Washington",14387.0,1522600.0,
2012-12-15,UFC on FX: Sotiropoulos vs. Pearson,Ultimate Fighting Championship,Gold Coast Convention and Exhibition Centre,"Queensland, Australia",5133.0,900000.0,
2012-12-15,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Ultimate Fighting Championship,Hard Rock Hotel and Casino,"Las Vegas, Nevada",2427.0,569075.0,
2012-12-29,UFC 155: dos Santos vs. Velasquez 2,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",13561.0,3286025.0,590000.0
2013-04-20,UFC on Fox: Henderson vs. Melendez,Ultimate Fighting Championship,HP Pavilion,"San Jose, California",13506.0,,
2013-04-27,UFC 159: Jones vs. Sonnen,Ultimate Fighting Championship,Prudential Center,"Newark, New Jersey",15227.0,2700000.0,530000.0
2013-05-18,UFC on FX: Belfort vs. Rockhold,Ultimate Fighting Championship,Arena Jaraguá,"Jaraguá do Sul, Brazil",7642.0,,
2013-05-25,UFC 160: Velasquez vs. Bigfoot 2,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",12380.0,,380000.0
2013-06-08,UFC on Fuel TV: Nogueira vs. Werdum,Ultimate Fighting Championship,Ginásio Paulo Sarasate,"Fortaleza, Brazil",6286.0,,
2013-06-15,UFC 161: Evans vs. Henderson,Ultimate Fighting Championship,MTS Centre,"Winnipeg, Manitoba, Canada",14754.0,,140000.0
2013-07-06,UFC 162: Silva vs. Weidman,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",12964.0,,550000.0
2013-07-27,UFC on Fox: Johnson vs. Moraga,Ultimate Fighting Championship,KeyArena,"Seattle, Washington",8967.0,700081.0,
2013-08-03,UFC 163: Aldo vs. Korean Zombie,Ultimate Fighting Championship,HSBC Arena,"Rio De Janeiro, Brazil",13873.0,,180000.0
2013-08-17,UFC Fight Night: Shogun vs. Sonnen,Ultimate Fighting Championship,TD Garden,"Boston, Massachusetts",14181.0,1534000.0,
2013-08-28,UFC Fight Night: Condit vs. Kampmann 2,Ultimate Fighting Championship,Bankers Life Fieldhouse,"Indianapolis, Indiana",6417.0,355290.0,
2013-08-31,UFC 164: Henderson vs. Pettis II,Ultimate Fighting Championship,BMO Harris Bradley Center,"Milwaukee, Wisconsin",9178.0,907116.0,270000.0
2013-09-04,UFC Fight Night: Teixeira vs. Bader,Ultimate Fighting Championship,Mineirinho Arena,"Belo Horizonte, Brazil",5126.0,,
2013-09-21,UFC 165: Jones vs. Gustafsson,Ultimate Fighting Championship,Air Canada Centre,"Toronto, Ontario, Canada",15504.0,,310000.0
2013-10-09,UFC Fight Night: Maia vs. Shields,Ultimate Fighting Championship,Ginásio José Corrêa,"Barueri, Brazil",6621.0,,
2013-10-19,UFC 166: Velasquez vs. dos Santos III,Ultimate Fighting Championship,Toyota Center,"Houston, Texas",17238.0,,330000.0
2013-10-26,UFC Fight Night: Machida vs. Muñoz,Ultimate Fighting Championship,Phones 4u Arena,"Manchester, United Kingdom",10355.0,,
2013-11-06,UFC: Fight for the Troops 3,Ultimate Fighting Championship,Fort Campbell,"Fort Campbell, Kentucky",,,
2013-11-09,UFC Fight Night: Belfort vs. Henderson 2,Ultimate Fighting Championship,Goiânia Arena,"Goiânia, Brazil",10565.0,,
2013-11-16,UFC 167: St-Pierre vs. Hendricks,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",14856.0,5759350.0,630000.0
2013-11-30,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",4853.0,322742.0,
2013-12-07,UFC Fight Night: Hunt vs. Bigfoot,Ultimate Fighting Championship,Brisbane Entertainment Centre,"Brisbane, Queensland, Australia",11393.0,,
2013-12-14,UFC on Fox: Johnson vs. Benavidez 2,Ultimate Fighting Championship,Sleep Train Arena,"Sacramento, California",11573.0,1066610.0,
2013-12-28,UFC 168: Weidman vs. Silva 2,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",15650.0,6238792.0,1025000.0
2014-01-04,UFC Fight Night: Saffiedine vs. Lim,Ultimate Fighting Championship,Marina Bay Sands,"Marina Bay, Singapore",5216.0,,
2014-01-15,UFC Fight Night: Rockhold vs. Philippou,Ultimate Fighting Championship,The Arena at Gwinnett Center,"Duluth, Georgia",5822.0,231951.0,
2014-01-25,UFC on Fox: Henderson vs. Thomson,Ultimate Fighting Championship,United Center,"Chicago, Illinois",10895.0,863655.0,
2014-02-01,UFC 169: Barão vs. Faber II,Ultimate Fighting Championship,Prudential Center,"Newark, New Jersey",14308.0,,230000.0
2014-02-15,UFC Fight Night: Machida vs. Mousasi,Ultimate Fighting Championship,Arena Jaraguá,"Jaraguá do Sul, Brazil",7511.0,,
2014-02-22,UFC 170: Rousey vs. McMann,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",10217.0,1558870.0,340000.0
2014-03-01,The Ultimate Fighter China Finale: Kim vs. Hathaway,Ultimate Fighting Championship,CotaiArena,"Macau, SAR, China",6000.0,,
2014-03-08,UFC Fight Night: Gustafsson  vs. Manuwa,Ultimate Fighting Championship,The O2 Arena,"London, England",14604.0,2000056.0,
2014-03-15,UFC 171: Hendricks vs. Lawler,Ultimate Fighting Championship,American Airlines Center,"Dallas, Texas",19324.0,2600000.0,300000.0
2014-03-23,UFC Fight Night: Shogun vs. Henderson 2,Ultimate Fighting Championship,Ginásio Nélio Dias,"Natal, Brazil",6828.0,,
2014-04-11,UFC Fight Night: Nogueira vs. Nelson,Ultimate Fighting Championship,du Arena,"Abu Dhabi, United Arab Emirates",7963.0,1800000.0,
2014-04-16,The Ultimate Fighter Nations Finale: Bisping vs. Kennedy,Ultimate Fighting Championship,Colisée Pepsi,"Quebec City, Quebec, Canada",5029.0,340000.0,
2014-04-19,UFC on Fox: Werdum vs. Browne,Ultimate Fighting Championship,Amway Center,"Orlando, Florida",14410.0,1651776.0,
2014-04-26,UFC 172: Jones vs. Teixeira,Ultimate Fighting Championship,Baltimore Arena,"Baltimore, Maryland",13485.0,,350000.0
2014-05-10,UFC Fight Night: Brown vs. Silva,Ultimate Fighting Championship,U.S. Bank Arena,"Cincinnati, Ohio",6143.0,415000.0,
2014-05-24,UFC 173: Barão vs. Dillashaw,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",11036.0,,215000.0
2014-05-31,UFC Fight Night: Muñoz vs. Mousasi,Ultimate Fighting Championship,O2 World,"Berlin, Germany",8000.0,,
2014-05-31,The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado,Ultimate Fighting Championship,Ginásio do Ibirapuera,"São Paulo, Brazil",8986.0,,
2014-06-07,UFC Fight Night: Henderson vs. Khabilov,Ultimate Fighting Championship,Tingley Coliseum,"Albuquerque, New Mexico",8775.0,697901.0,
2014-06-14,UFC 174: Johnson vs. Bagautinov,Ultimate Fighting Championship,Rogers Arena,"Vancouver, British Columbia, Canada",13506.0,,115000.0
2014-06-28,UFC Fight Night: Te Huna vs. Marquardt,Ultimate Fighting Championship,Vector Arena,"Auckland, New Zealand",8089.0,913000.0,
2014-06-28,UFC Fight Night: Swanson vs. Stephens,Ultimate Fighting Championship,AT&T Center,"San Antonio, Texas",9227.0,728358.0,
2014-07-05,UFC 175: Weidman vs. Machida,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",10088.0,4400000.0,545000.0
2014-07-06,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",6500.0,835000.0,
2014-07-16,UFC Fight Night: Cerrone vs. Miller,Ultimate Fighting Championship,Revel Casino Hotel,"Atlantic City, New Jersey",4115.0,,
2014-07-19,UFC Fight Night: McGregor vs. Brandao,Ultimate Fighting Championship,The O2,"Dublin, Ireland",9500.0,,
2014-07-26,UFC on Fox: Lawler vs Brown,Ultimate Fighting Championship,SAP Center,"San Jose, California",11482.0,735317.0,
2014-08-16,UFC Fight Night: Bader vs. Saint Preux,Ultimate Fighting Championship,Cross Insurance Center,"Bangor, Maine",5329.0,321470.0,
2014-08-23,UFC Fight Night: Bisping vs. Le,Ultimate Fighting Championship,CotaiArena,"Macau, SAR, China",7022.0,,
2014-08-23,UFC Fight Night: Henderson vs. dos Anjos,Ultimate Fighting Championship,BOK Center,"Tulsa, Oklahoma",7119.0,452075.0,
2014-08-30,UFC 177: Dillashaw vs. Soto,Ultimate Fighting Championship,Sleep Train Arena,"Sacramento, California",11100.0,700000.0,125000.0
2014-09-05,UFC Fight Night: Jacaré vs. Mousasi,Ultimate Fighting Championship,Foxwoods Resort Casino,"Mashantucket, Connecticut",4086.0,479620.0,
2014-09-13,UFC Fight Night: Bigfoot vs. Arlovski,Ultimate Fighting Championship,Ginásio Nilson Nelson,"Brasília, Brazil",8822.0,,
2014-09-20,UFC Fight Night: Hunt vs. Nelson,Ultimate Fighting Championship,Saitama Super Arena,"Saitama, Japan",12395.0,,
2014-09-27,UFC 178: Johnson vs. Cariaso,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",10544.0,,205000.0
2014-10-04,UFC Fight Night: Nelson vs. Story,Ultimate Fighting Championship,Ericsson Globe Arena,"Stockholm, Sweden",10026.0,,
2014-10-04,UFC Fight Night: MacDonald vs. Saffiedine,Ultimate Fighting Championship,Scotiabank Centre,"Halifax, Nova Scotia, Canada",10782.0,926000.0,
2014-10-25,UFC 179: Aldo vs. Mendes 2,Ultimate Fighting Championship,Ginásio do Maracanãzinho,"Rio de Janeiro, Brazil",11415.0,,180000.0
2014-11-08,UFC Fight Night: Rockhold vs. Bisping,Ultimate Fighting Championship,Allphones Arena,"Sydney, Australia",9904.0,,
2014-11-08,UFC Fight Night: Shogun vs. Saint Preux,Ultimate Fighting Championship,Ginásio Municipal Tancredo Neves,"Uberlândia, Brazil",5671.0,,
2014-11-15,UFC 180: Werdum vs. Hunt,Ultimate Fighting Championship,Arena Ciudad de México,"Mexico City, Mexico",21000.0,,185000.0
2014-11-22,UFC Fight Night: Edgar vs. Swanson,Ultimate Fighting Championship,Frank Erwin Center,"Austin, Texas",10131.0,670022.0,
2014-12-06,UFC 181: Hendricks vs. Lawler II,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",9617.0,,400000.0
2014-12-12,The Ultimate Fighter: A Champion Will Be Crowned,Ultimate Fighting Championship,Palms Casino Resort,"Las Vegas, Nevada",1800.0,143000.0,
2014-12-13,UFC on Fox: dos Santos vs. Miocic,Ultimate Fighting Championship,U.S. Airways Center,"Phoenix, Arizona",15350.0,,
2014-12-20,UFC Fight Night: Machida vs. Dollaway,Ultimate Fighting Championship,Ginásio José Corrêa,"Barueri, Brazil",,,
2015-01-03,UFC 182: Jones vs. Cormier,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",11575.0,3700000.0,800000.0
2015-01-18,UFC Fight Night: McGregor vs Siver,Ultimate Fighting Championship,TD Garden,"Boston, Massachusetts",13828.0,1340000.0,
2015-01-24,UFC on Fox: Gustafsson vs. Johnson,Ultimate Fighting Championship,Tele2 Arena,"Stockholm, Sweden",30000.0,,
2015-01-31,UFC 183: Silva vs. Diaz,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",13114.0,4500000.0,650000.0
2015-02-14,UFC Fight Night: Henderson vs. Thatch,Ultimate Fighting Championship,1stBank Center,"Broomfield, Colorado",5807.0,382875.0,
2015-02-22,UFC Fight Night: Bigfoot vs. Mir,Ultimate Fighting Championship,Ginásio Gigantinho,"Porto Alegre, Brazil",5080.0,,
2015-02-28,UFC 184: Rousey vs. Zingano,Ultimate Fighting Championship,Staples Center,"Los Angeles, California",16577.0,2675560.0,600000.0
2015-03-14,UFC 185: Pettis vs. dos Anjos,Ultimate Fighting Championship,American Airlines Center,"Dallas, Texas",14298.0,2155630.0,310000.0
2015-03-21,UFC Fight Night: Maia vs. LaFlare,Ultimate Fighting Championship,Ginásio do Maracanãzinho,"Rio de Janeiro, Brazil",7707.0,,
2015-04-04,UFC Fight Night: Mendes vs. Lamas,Ultimate Fighting Championship,Patriot Center,"Fairfax, Virginia",5417.0,545604.0,
2015-04-11,UFC Fight Night: Gonzaga vs. Cro Cop 2,Ultimate Fighting Championship,Tauron Arena Kraków,"Kraków, Poland",10000.0,720000.0,
2015-04-18,UFC on Fox: Machida vs. Rockhold,Ultimate Fighting Championship,Prudential Center,"Newark, New Jersey",13306.0,1200000.0,
2015-04-25,UFC 186: Johnson vs. Horiguchi,Ultimate Fighting Championship,Bell Centre,"Montreal, Quebec, Canada",10154.0,668000.0,125000.0
2015-05-10,UFC Fight Night: Miocic vs. Hunt,Ultimate Fighting Championship,Adelaide Entertainment Centre,"Adelaide, Australia",7984.0,833810.0,
2015-05-16,UFC Fight Night: Edgar vs. Faber,Ultimate Fighting Championship,Mall of Asia Arena,"Pasay, Philippines",13446.0,,
2015-05-23,UFC 187: Johnson vs. Cormier,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",12615.0,5189623.0,375000.0
2015-05-30,UFC Fight Night: Condit vs. Alves,Ultimate Fighting Championship,Goiânia Arena,"Goiânia, Brazil",3500.0,,
2015-06-06,UFC Fight Night: Boetsch vs. Henderson,Ultimate Fighting Championship,Smoothie King Center,"New Orleans, Louisiana",6231.0,621523.0,
2015-06-13,UFC 188: Velasquez vs. Werdum,Ultimate Fighting Championship,Arena Ciudad de México,"Mexico City, Mexico",21036.0,,300000.0
2015-06-20,UFC Fight Night: Jędrzejczyk vs. Penne,Ultimate Fighting Championship,O2 World,"Berlin, Germany",8155.0,,
2015-06-27,UFC Fight Night: Machida vs. Romero,Ultimate Fighting Championship,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida",5604.0,,
2015-07-11,UFC 189: Mendes vs. McGregor,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",16019.0,7201648.0,825000.0
2015-07-12,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",4844.0,291000.0,
2015-07-15,UFC Fight Night:  Mir vs. Duffee,Ultimate Fighting Championship,Valley View Casino Center,"San Diego, California",5471.0,412000.0,
2015-07-18,UFC Fight Night: Bisping vs. Leites,Ultimate Fighting Championship,The SSE Hydro,"Glasgow, Scotland",10451.0,1500000.0,
2015-07-25,UFC on Fox: Dillashaw vs. Barão 2,Ultimate Fighting Championship,United Center,"Chicago, Illinois",11663.0,1200000.0,
2015-08-01,UFC 190: Rousey vs. Correia,Ultimate Fighting Championship,HSBC Arena,"Rio de Janeiro, Brazil",14723.0,,900000.0
2015-08-08,UFC Fight Night: Teixeira vs. Saint Preux,Ultimate Fighting Championship,Bridgestone Arena,"Nashville, Tennessee",7539.0,454551.0,
2015-08-23,UFC Fight Night: Holloway vs. Oliveira,Ultimate Fighting Championship,SaskTel Centre,"Saskatoon, Saskatchewan, Canada",7202.0,,
2015-09-05,UFC 191: Johnson vs Dodson 2,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",10873.0,1362700.0,115000.0
2015-09-27,UFC Fight Night: Barnett vs. Nelson,Ultimate Fighting Championship,Saitama Super Arena,"Saitama, Japan",10137.0,,
2015-10-03,UFC 192: Cormier vs. Gustafsson,Ultimate Fighting Championship,Toyota Center,"Houston, Texas",14622.0,1859000.0,250000.0
2015-10-24,UFC Fight Night: Holohan vs. Smolka,Ultimate Fighting Championship,3Arena,"Dublin, Ireland",9500.0,,
2015-11-07,UFC Fight Night: Belfort vs. Henderson 3,Ultimate Fighting Championship,Ginásio do Ibirapuera,"São Paulo, Brazil",10628.0,,
2015-11-15,UFC 193: Rousey vs. Holm,Ultimate Fighting Championship,Etihad Stadium,"Melbourne, Australia",56214.0,6800000.0,1100000.0
2015-11-21,The Ultimate Fighter Latin America 2 Finale: Magny vs. Gastelum,Ultimate Fighting Championship,Arena Monterrey,"Monterrey, Mexico",10410.0,,
2015-11-28,UFC Fight Night: Henderson vs. Masvidal,Ultimate Fighting Championship,Olympic Gymnastics Arena,"Seoul, South Korea",12156.0,,
2015-12-10,UFC Fight Night: Namajunas vs. VanZant,Ultimate Fighting Championship,The Chelsea at The Cosmopolitan,"Las Vegas, Nevada",1643.0,234725.0,
2015-12-11,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,Ultimate Fighting Championship,The Chelsea at The Cosmopolitan,"Las Vegas, Nevada",1800.0,450000.0,
2015-12-12,UFC 194: Aldo vs. McGregor,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",16516.0,10006249.0,1200000.0
2015-12-19,UFC on Fox: dos Anjos vs. Cerrone 2,Ultimate Fighting Championship,Amway Center,"Orlando, Florida",14459.0,1710000.0,
2016-01-02,UFC 195: Lawler vs. Condit,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",10300.0,2003986.0,300000.0
2016-01-17,UFC Fight Night: Dillashaw vs. Cruz,Ultimate Fighting Championship,TD Garden,"Boston, Massachusetts",12790.0,1300000.0,
2016-01-30,UFC on Fox: Johnson vs. Bader,Ultimate Fighting Championship,Prudential Center,"Newark, New Jersey",10555.0,818000.0,
2016-02-06,UFC Fight Night: Hendricks vs. Thompson,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",7422.0,1435000.0,
2016-02-21,UFC Fight Night: Cowboy vs. Cowboy,Ultimate Fighting Championship,Consol Energy Center,"Pittsburgh, Pennsylvania",7330.0,572547.0,
2016-02-27,UFC Fight Night: Silva vs. Bisping,Ultimate Fighting Championship,The O2 Arena,"London, England",16734.0,2000000.0,
2016-03-05,UFC 196: McGregor vs. Diaz,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",14898.0,8197628.0,1317000.0
2016-03-20,UFC Fight Night: Hunt vs. Mir,Ultimate Fighting Championship,Brisbane Entertainment Centre,"Brisbane, Australia",9552.0,1000000.0,
2016-04-10,UFC Fight Night: Rothwell vs. dos Santos,Ultimate Fighting Championship,Arena Zagreb,"Zagreb, Croatia",13177.0,549000.0,
2016-04-16,UFC on Fox: Teixeira vs. Evans,Ultimate Fighting Championship,Amalie Arena,"Tampa, Florida",11273.0,1057000.0,
2016-04-23,UFC 197: Jones vs. Saint Preux,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",11352.0,2300000.0,322000.0
2016-05-08,UFC Fight Night: Overeem vs. Arlovski,Ultimate Fighting Championship,Ahoy Rotterdam,"Rotterdam, Netherlands",10421.0,1523320.0,
2016-05-14,UFC 198: Werdum vs. Miocic,Ultimate Fighting Championship,Arena da Baixada,"Curitiba, Brazil",45207.0,,217000.0
2016-05-29,UFC Fight Night: Almeida vs. Garbrandt,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",5193.0,359000.0,
2016-06-04,UFC 199: Rockhold vs. Bisping 2,Ultimate Fighting Championship,The Forum,"Inglewood, California",15587.0,2168675.0,283000.0
2016-06-18,UFC Fight Night: MacDonald vs. Thompson,Ultimate Fighting Championship,TD Place Arena,"Ottawa, Ontario, Canada",10490.0,1278250.0,
2016-07-07,UFC Fight Night: Dos Anjos vs. Alvarez,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",7760.0,690526.0,
2016-07-08,The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",8115.0,736408.0,
2016-07-09,UFC 200: Tate vs. Nunes,Ultimate Fighting Championship,T-Mobile Arena,"Las Vegas, Nevada",18202.0,10746248.0,1009000.0
2016-07-13,UFC Fight Night: McDonald vs. Lineker,Ultimate Fighting Championship,Denny Sanford Premier Center,"Sioux Falls, South Dakota",5671.0,381945.0,
2016-07-23,UFC on Fox: Holm vs. Shevchenko,Ultimate Fighting Championship,United Center,"Chicago, Illinois",10287.0,1000000.0,
2016-07-30,UFC 201: Lawler vs. Woodley,Ultimate Fighting Championship,Philips Arena,"Atlanta, Georgia",10240.0,1070000.0,240000.0
2016-08-06,UFC Fight Night: Rodríguez vs Caceres,Ultimate Fighting Championship,Vivint Smart Home Arena,"Salt Lake City, Utah",6689.0,481033.0,
2016-08-20,UFC 202: Diaz vs. McGregor 2,Ultimate Fighting Championship,T-Mobile Arena,"Las Vegas, Nevada",15539.0,7700810.0,1650000.0
2016-08-27,UFC on Fox: Maia vs Condit,Ultimate Fighting Championship,Rogers Arena,"Vancouver, British Columbia, Canada",10533.0,,
2016-09-03,UFC Fight Night: Arlovski vs. Barnett,Ultimate Fighting Championship,Barclaycard Arena,"Hamburg, Germany",11763.0,913428.0,
2016-09-10,UFC 203: Miocic vs. Overeem,Ultimate Fighting Championship,Quicken Loans Arena,"Cleveland, Ohio",18875.0,2600000.0,450000.0
2016-09-17,UFC Fight Night: Poirier vs. Johnson,Ultimate Fighting Championship,State Farm Arena,"Hidalgo, Texas",5624.0,323419.0,
2016-09-24,UFC Fight Night: Cyborg vs. Länsberg,Ultimate Fighting Championship,Ginásio Nilson Nelson,"Brasília, Brazil",8410.0,,
2016-10-01,UFC Fight Night: Lineker vs. Dodson,Ultimate Fighting Championship,Moda Center,"Portland, Oregon",6240.0,501035.0,
2016-10-08,UFC 204: Bisping vs Henderson 2,Ultimate Fighting Championship,Manchester Arena,"Manchester, England",16000.0,1960000.0,290000.0
2016-11-05,The Ultimate Fighter Latin America 3 Finale: dos Anjos vs. Ferguson,Ultimate Fighting Championship,Arena Ciudad de México,"Mexico City, Mexico",11460.0,,
2016-11-12,UFC 205: Alvarez vs. McGregor,Ultimate Fighting Championship,Madison Square Garden,"New York City, New York",20427.0,17700000.0,1300000.0
2016-11-19,UFC Fight Night: Mousasi vs. Hall 2,Ultimate Fighting Championship,The SSE Arena,"Belfast, Northern Ireland",7222.0,850000.0,
2016-11-19,UFC Fight Night: Bader vs. Nogueira 2,Ultimate Fighting Championship,Ginásio do Ibirapuera,"São Paulo, Brazil",9028.0,,
2016-11-27,UFC Fight Night: Whittaker vs. Brunson,Ultimate Fighting Championship,Rod Laver Arena,"Melbourne, Australia",13721.0,,
2016-12-03,The Ultimate Fighter: Tournament of Champions Finale,Ultimate Fighting Championship,Palms Casino Resort,"Las Vegas, Nevada",2044.0,188602.0,
2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov,Ultimate Fighting Championship,Times Union Center,"Albany, New York",6216.0,411000.0,
2016-12-10,UFC 206: Holloway vs. Pettis,Ultimate Fighting Championship,Air Canada Centre,"Toronto, Ontario, Canada",18057.0,1843101.0,150000.0
2016-12-17,UFC on Fox: VanZant vs. Waterson,Ultimate Fighting Championship,Golden 1 Center,"Sacramento, California",10525.0,1238992.0,
2016-12-30,UFC 207: Nunes vs. Rousey,Ultimate Fighting Championship,T-Mobile Arena,"Las Vegas, Nevada",18533.0,4750000.0,1100000.0
2017-01-15,UFC Fight Night: Rodríguez vs. Penn,Ultimate Fighting Championship,Talking Stick Resort Arena,"Phoenix, Arizona",11589.0,913372.0,
2017-01-28,UFC on Fox: Shevchenko vs. Peña,Ultimate Fighting Championship,Pepsi Center,"Denver, Colorado",13233.0,1020434.0,
2017-02-04,UFC Fight Night: Bermudez vs. Korean Zombie,Ultimate Fighting Championship,Toyota Center,"Houston, Texas",8119.0,611133.0,
2017-02-11,UFC 208: Holm vs. de Randamie,Ultimate Fighting Championship,Barclays Center,"Brooklyn, New York",15628.0,2275105.0,200000.0
2017-02-19,UFC Fight Night: Lewis vs. Browne,Ultimate Fighting Championship,Scotiabank Centre,"Halifax, Nova Scotia, Canada",8123.0,575832.0,
2017-03-04,UFC 209: Woodley vs. Thompson 2,Ultimate Fighting Championship,T-Mobile Arena,"Las Vegas, Nevada",13150.0,,300000.0
2017-03-11,UFC Fight Night: Belfort vs. Gastelum,Ultimate Fighting Championship,Centro de Formação Olímpica do Nordeste,"Fortaleza, Brazil",14069.0,,
2017-03-18,UFC Fight Night: Manuwa vs. Anderson,Ultimate Fighting Championship,The O2 Arena,"London, England",15761.0,2015777.0,
2017-04-08,UFC 210: Cormier vs Johnson 2,Ultimate Fighting Championship,KeyBank Center,"Buffalo, New York",17110.0,2000000.0,300000.0
2017-04-15,UFC on Fox: Johnson vs. Reis,Ultimate Fighting Championship,Sprint Center,"Kansas City, Missouri",12171.0,1081193.0,
2017-04-22,UFC Fight Night: Swanson vs. Lobov,Ultimate Fighting Championship,Bridgestone Arena,"Nashville, Tennessee",10144.0,755180.0,
2017-05-13,UFC 211: Miocic vs dos Santos 2,Ultimate Fighting Championship,American Airlines Center,"Dallas, Texas",17834.0,2662645.0,300000.0
2017-05-28,UFC Fight Night: Gustafsson vs. Teixeira,Ultimate Fighting Championship,Ericsson Globe,"Stockholm, Sweden",12668.0,1920000.0,
2017-06-03,UFC 212: Aldo vs. Holloway,Ultimate Fighting Championship,Jeunesse Arena,"Rio de Janeiro, Brazil",15412.0,,200000.0
2017-06-11,UFC Fight Night: Lewis vs. Hunt,Ultimate Fighting Championship,Spark Arena,"Auckland, New Zealand",7468.0,800298.0,
2017-06-17,UFC Fight Night: Holm vs. Correia,Ultimate Fighting Championship,Singapore Indoor Stadium,"Kallang, Singapore",8414.0,839300.0,
2017-06-25,UFC Fight Night: Chiesa vs. Lee,Ultimate Fighting Championship,Chesapeake Energy Arena,"Oklahoma City, Oklahoma",7605.0,549302.0,
2017-07-07,The Ultimate Fighter: Redemption Finale,Ultimate Fighting Championship,T-Mobile Arena,"Paradise, Nevada",6308.0,432495.0,
